val_original/ILSVRC2012_val_00015059.JPEG 116,444,307,13
train/n02443114/n02443114_1001.JPEG 1,1,313,338,81
train/n02443114/n02443114_10977.JPEG 25,21,228,181,81
train/n02443114/n02443114_9004.JPEG 38,6,197,136,81
train/n02443114/n02443114_2141.JPEG 90,68,561,460,81
train/n02443114/n02443114_3194.JPEG 1,1,331,416,81
train/n02443114/n02443114_30728.JPEG 13,210,656,474,81 458,77,787,215,81
train/n02123159/n02123159_3043.JPEG 177,50,436,420,58
train/n02123159/n02123159_7928.JPEG 1,98,265,497,58
train/n02123159/n02123159_3812.JPEG 1,1,373,393,58
train/n02123159/n02123159_7684.JPEG 100,1,498,332,58
train/n02123159/n02123159_1662.JPEG 120,37,332,333,58
train/n02514041/n02514041_11184.JPEG 30,188,471,302,96
train/n02514041/n02514041_13146.JPEG 123,90,520,310,96
train/n02514041/n02514041_11996.JPEG 87,132,409,249,96
train/n02514041/n02514041_3995.JPEG 79,304,700,594,96
train/n02488291/n02488291_5043.JPEG 24,1,284,297,88
train/n02488291/n02488291_626.JPEG 10,71,189,285,88
train/n02488291/n02488291_7024.JPEG 22,13,373,498,88
train/n02488291/n02488291_4585.JPEG 190,17,468,244,88
train/n02488291/n02488291_3587.JPEG 172,192,247,322,88
train/n02488291/n02488291_3514.JPEG 231,172,271,213,88
train/n02006656/n02006656_6723.JPEG 173,150,308,258,39
train/n02006656/n02006656_2006.JPEG 137,150,381,458,39 62,41,199,276,39
train/n02006656/n02006656_3438.JPEG 124,98,330,201,39
train/n02006656/n02006656_5594.JPEG 1,63,320,498,39
train/n02006656/n02006656_9503.JPEG 31,65,302,440,39
train/n02408429/n02408429_1723.JPEG 229,125,357,234,75
train/n02408429/n02408429_5126.JPEG 54,69,319,321,75
train/n02408429/n02408429_4797.JPEG 272,205,454,366,75 124,171,404,347,75
train/n02408429/n02408429_1223.JPEG 1,12,65,81,75
train/n01440764/n01440764_5633.JPEG 138,145,380,268,0
train/n01440764/n01440764_1108.JPEG 29,135,489,293,0
train/n01440764/n01440764_7044.JPEG 15,300,345,442,0
train/n01440764/n01440764_14342.JPEG 87,236,406,371,0
train/n01440764/n01440764_5203.JPEG 130,145,303,248,0
train/n01440764/n01440764_13766.JPEG 17,115,369,236,0
train/n01695060/n01695060_23536.JPEG 1,107,389,333,17
val_original/ILSVRC2012_val_00035102.JPEG 2,62,456,374,17
val_original/ILSVRC2012_val_00013840.JPEG 128,116,260,475,31
train/n01843065/n01843065_3542.JPEG 112,92,428,446,31
train/n01843065/n01843065_4586.JPEG 46,63,310,475,31
train/n01843065/n01843065_3372.JPEG 163,117,304,399,31
train/n01843065/n01843065_4388.JPEG 152,27,414,411,31
train/n01843065/n01843065_2450.JPEG 234,84,304,266,31
train/n02119022/n02119022_1049.JPEG 77,8,475,261,55
train/n02119022/n02119022_731.JPEG 96,8,463,332,55
train/n02119022/n02119022_107.JPEG 2,37,108,103,55
train/n02119022/n02119022_10462.JPEG 12,7,149,121,55
train/n02006656/n02006656_10617.JPEG 133,128,265,438,39
train/n02006656/n02006656_1680.JPEG 93,121,273,446,39
train/n02006656/n02006656_6162.JPEG 70,88,221,216,39
train/n02006656/n02006656_76.JPEG 57,102,340,390,39
train/n02006656/n02006656_3679.JPEG 63,9,467,251,39
val_original/ILSVRC2012_val_00028586.JPEG 72,71,336,403,39
train/n02006656/n02006656_7134.JPEG 133,23,499,308,39
train/n02006656/n02006656_11249.JPEG 54,112,197,327,39
train/n01440764/n01440764_1566.JPEG 47,69,462,251,0
train/n01440764/n01440764_3199.JPEG 30,166,283,291,0
train/n01440764/n01440764_11211.JPEG 31,61,230,180,0
train/n01440764/n01440764_315.JPEG 5,120,409,281,0
train/n01440764/n01440764_3198.JPEG 10,281,1063,729,0
train/n01440764/n01440764_12339.JPEG 1,165,427,340,0
train/n01440764/n01440764_8030.JPEG 112,153,391,312,0
val_original/ILSVRC2012_val_00000306.JPEG 188,207,373,276,75
train/n02408429/n02408429_215.JPEG 61,137,499,373,75
train/n02408429/n02408429_5163.JPEG 112,89,499,290,75
train/n02408429/n02408429_5483.JPEG 184,99,305,254,75
train/n02408429/n02408429_259.JPEG 1,65,345,282,75
train/n02443114/n02443114_16938.JPEG 28,19,61,61,81
train/n02443114/n02443114_1150.JPEG 44,67,354,374,81 212,51,476,374,81
train/n02443114/n02443114_3528.JPEG 140,70,221,166,81
train/n02443114/n02443114_7673.JPEG 44,29,116,105,81
train/n02443114/n02443114_6236.JPEG 25,20,73,49,81
train/n02129165/n02129165_5522.JPEG 8,12,47,47,63
train/n02129165/n02129165_18704.JPEG 207,89,317,341,63
train/n02129165/n02129165_911.JPEG 23,58,494,332,63
train/n02129165/n02129165_6944.JPEG 1,44,499,374,63
train/n02129165/n02129165_1784.JPEG 140,100,489,320,63
train/n01695060/n01695060_17565.JPEG 1,124,427,231,17
train/n01695060/n01695060_32789.JPEG 29,21,284,278,17
train/n01695060/n01695060_11898.JPEG 1,40,397,332,17
train/n02119022/n02119022_9580.JPEG 56,47,461,327,55
train/n02119022/n02119022_6681.JPEG 53,48,409,336,55
train/n02119022/n02119022_570.JPEG 6,32,448,374,55
train/n02119022/n02119022_8361.JPEG 309,54,461,229,55
train/n02119022/n02119022_11508.JPEG 105,1,499,332,55
train/n02119022/n02119022_1910.JPEG 152,17,409,333,55
train/n02119022/n02119022_2909.JPEG 173,41,418,318,55
train/n02119022/n02119022_12717.JPEG 200,112,289,292,55
train/n02129165/n02129165_1539.JPEG 22,8,79,67,63
train/n02129165/n02129165_678.JPEG 2,3,285,298,63
train/n02129165/n02129165_1749.JPEG 28,27,499,284,63
train/n02129165/n02129165_23463.JPEG 132,42,485,291,63
train/n02129165/n02129165_23075.JPEG 13,10,92,58,63
train/n02129165/n02129165_4143.JPEG 308,151,499,374,63 33,38,353,207,63
train/n02129165/n02129165_23188.JPEG 63,27,310,498,63
train/n02408429/n02408429_2898.JPEG 266,47,499,260,75
train/n01592084/n01592084_5940.JPEG 194,161,410,297,7
train/n01592084/n01592084_1112.JPEG 19,114,398,418,7
train/n01592084/n01592084_1544.JPEG 40,45,374,278,7
train/n01592084/n01592084_3490.JPEG 68,85,494,310,7
train/n01592084/n01592084_7544.JPEG 146,86,480,258,7
train/n01592084/n01592084_2859.JPEG 1,135,471,498,7
train/n01843065/n01843065_4124.JPEG 164,73,245,262,31
train/n01843065/n01843065_3396.JPEG 87,169,222,366,31
train/n01843065/n01843065_4606.JPEG 115,175,237,417,31
train/n01843065/n01843065_4451.JPEG 45,93,496,487,31
train/n01843065/n01843065_1656.JPEG 158,110,286,265,31
train/n02480855/n02480855_20809.JPEG 1,2,440,332,86
train/n02480855/n02480855_11392.JPEG 2,172,321,498,86
train/n02480855/n02480855_4288.JPEG 25,1,295,383,86
train/n02480855/n02480855_3437.JPEG 92,27,411,332,86
train/n02129165/n02129165_771.JPEG 62,2,499,374,63
train/n02129165/n02129165_14478.JPEG 212,152,265,200,63
train/n02129165/n02129165_2294.JPEG 1,21,373,498,63
train/n02129165/n02129165_219.JPEG 87,147,224,455,63
train/n02129165/n02129165_6960.JPEG 7,1,373,491,63
train/n01797886/n01797886_3428.JPEG 136,130,317,332,26
train/n01797886/n01797886_5290.JPEG 187,95,343,253,26
train/n01797886/n01797886_643.JPEG 16,8,271,273,26
train/n01797886/n01797886_13983.JPEG 30,66,124,142,26
train/n01797886/n01797886_11269.JPEG 168,127,402,347,26
train/n01797886/n01797886_4795.JPEG 96,109,250,320,26
train/n02480855/n02480855_33937.JPEG 1,1,133,183,86
val_original/ILSVRC2012_val_00017200.JPEG 115,76,281,303,86
train/n02480855/n02480855_5811.JPEG 1,1,300,498,86
train/n02480855/n02480855_158.JPEG 68,43,258,229,86
train/n01440764/n01440764_10569.JPEG 2,2,352,165,0
train/n01440764/n01440764_11350.JPEG 40,130,461,296,0
train/n01440764/n01440764_12898.JPEG 65,75,458,269,0
train/n01440764/n01440764_9292.JPEG 222,176,356,310,0
train/n01440764/n01440764_8813.JPEG 15,11,169,126,0
train/n01843065/n01843065_7306.JPEG 206,97,304,332,31
train/n01843065/n01843065_3690.JPEG 43,91,252,480,31
train/n01843065/n01843065_1632.JPEG 193,106,273,267,31
train/n01843065/n01843065_6149.JPEG 61,128,284,377,31
train/n01843065/n01843065_161.JPEG 53,72,229,443,31
train/n01843065/n01843065_1179.JPEG 183,22,317,355,31
train/n01644373/n01644373_13639.JPEG 122,65,409,382,11
train/n01644373/n01644373_15828.JPEG 174,56,351,261,11
train/n01644373/n01644373_6878.JPEG 83,74,338,329,11
train/n01644373/n01644373_8865.JPEG 252,166,416,286,11
train/n01644373/n01644373_10059.JPEG 233,143,442,333,11
train/n02129165/n02129165_1096.JPEG 1,35,407,374,63
train/n02129165/n02129165_18327.JPEG 33,51,493,280,63
train/n02129165/n02129165_24183.JPEG 21,21,369,475,63
train/n02129165/n02129165_14263.JPEG 81,60,498,333,63
train/n02129165/n02129165_2809.JPEG 1,1,252,379,63
train/n02129165/n02129165_13630.JPEG 24,1,413,332,63
train/n02514041/n02514041_11904.JPEG 47,100,353,200,96
val_original/ILSVRC2012_val_00047394.JPEG 39,223,714,540,96
val_original/ILSVRC2012_val_00000312.JPEG 81,130,480,281,96
train/n02514041/n02514041_6682.JPEG 21,52,559,440,96
train/n02514041/n02514041_2065.JPEG 8,132,499,235,96
train/n02488291/n02488291_1808.JPEG 134,6,499,321,88
train/n02408429/n02408429_15180.JPEG 1,1,461,332,75
train/n02408429/n02408429_2533.JPEG 118,195,463,253,75 267,127,395,196,75
train/n02408429/n02408429_11050.JPEG 6,243,207,498,75
train/n01695060/n01695060_23922.JPEG 17,33,481,366,17
train/n01695060/n01695060_6831.JPEG 20,112,453,290,17
train/n01695060/n01695060_32287.JPEG 14,147,299,287,17
train/n01695060/n01695060_20095.JPEG 75,105,377,272,17
train/n01695060/n01695060_6039.JPEG 1,109,316,370,17
train/n01695060/n01695060_14592.JPEG 1,106,371,277,17
train/n01695060/n01695060_14869.JPEG 20,107,364,279,17
train/n02119022/n02119022_1529.JPEG 91,85,434,322,55
train/n02119022/n02119022_10440.JPEG 129,77,337,305,55
train/n02119022/n02119022_3559.JPEG 125,164,467,302,55
train/n02119022/n02119022_5359.JPEG 40,10,119,108,55
train/n01695060/n01695060_8777.JPEG 66,117,246,377,17
val_original/ILSVRC2012_val_00042124.JPEG 0,63,433,352,17
val_original/ILSVRC2012_val_00037264.JPEG 10,19,489,329,17
val_original/ILSVRC2012_val_00006301.JPEG 0,91,343,370,17
train/n01695060/n01695060_15867.JPEG 1,51,365,306,17
val_original/ILSVRC2012_val_00049420.JPEG 75,130,499,271,17
train/n01695060/n01695060_4167.JPEG 97,44,499,327,17
train/n01440764/n01440764_10074.JPEG 47,241,367,368,0
train/n01440764/n01440764_739.JPEG 56,64,480,313,0
train/n01440764/n01440764_11830.JPEG 21,233,378,372,0
train/n01440764/n01440764_2939.JPEG 187,208,453,297,0
train/n01440764/n01440764_2563.JPEG 110,25,428,256,0
train/n01440764/n01440764_5066.JPEG 1,17,499,235,0
val_original/ILSVRC2012_val_00017505.JPEG 99,101,301,263,11
train/n01644373/n01644373_6412.JPEG 16,63,347,455,11
train/n01644373/n01644373_2704.JPEG 207,129,408,292,11
train/n01644373/n01644373_12060.JPEG 160,83,343,465,11
train/n01644373/n01644373_3944.JPEG 73,43,473,278,11
train/n01644373/n01644373_8334.JPEG 48,24,410,350,11
train/n01644373/n01644373_18772.JPEG 79,57,413,287,11
train/n02119022/n02119022_6974.JPEG 33,21,298,295,55
train/n02119022/n02119022_13677.JPEG 57,34,251,308,55
train/n02119022/n02119022_13109.JPEG 45,74,170,202,55
val_original/ILSVRC2012_val_00003449.JPEG 24,2,459,320,55
train/n02514041/n02514041_6260.JPEG 24,217,981,742,96
train/n02514041/n02514041_588.JPEG 1,74,465,196,96
train/n02514041/n02514041_1195.JPEG 86,270,262,332,96
train/n02514041/n02514041_12152.JPEG 142,119,472,247,96
val_original/ILSVRC2012_val_00020059.JPEG 92,25,405,364,11
train/n01644373/n01644373_9568.JPEG 163,196,239,336,11
train/n01644373/n01644373_3970.JPEG 152,79,459,290,11
train/n01644373/n01644373_3536.JPEG 24,55,452,342,11
train/n01644373/n01644373_7073.JPEG 10,21,165,128,11
train/n02129165/n02129165_11840.JPEG 40,60,331,498,63
train/n02129165/n02129165_4098.JPEG 100,59,450,287,63
train/n02129165/n02129165_1022.JPEG 1,1,166,249,63
train/n02129165/n02129165_17022.JPEG 134,69,375,331,63
train/n02129165/n02129165_12001.JPEG 68,20,116,105,63
train/n02443114/n02443114_5331.JPEG 30,54,99,114,81
train/n02443114/n02443114_30285.JPEG 6,7,492,272,81
val_original/ILSVRC2012_val_00019024.JPEG 79,104,350,458,31
train/n01843065/n01843065_2819.JPEG 191,62,338,322,31
train/n01843065/n01843065_3722.JPEG 135,86,298,374,31
train/n01843065/n01843065_2370.JPEG 213,85,312,197,31
train/n01843065/n01843065_2815.JPEG 186,117,268,411,31
train/n01843065/n01843065_4588.JPEG 63,12,385,498,31
val_original/ILSVRC2012_val_00046285.JPEG 52,20,401,480,31
train/n02006656/n02006656_179.JPEG 130,113,277,224,39
train/n02006656/n02006656_4636.JPEG 44,115,261,384,39
train/n02006656/n02006656_2133.JPEG 259,49,488,201,39
train/n02006656/n02006656_9846.JPEG 1,11,452,374,39
train/n02006656/n02006656_9669.JPEG 92,119,385,324,39
train/n02443114/n02443114_31743.JPEG 34,61,326,281,81
train/n02443114/n02443114_5105.JPEG 30,16,331,266,81
val_original/ILSVRC2012_val_00033926.JPEG 11,0,172,176,81
train/n02443114/n02443114_758.JPEG 2,22,380,260,81
train/n02408429/n02408429_881.JPEG 46,108,286,249,75
train/n02408429/n02408429_7489.JPEG 87,86,499,332,75
val_original/ILSVRC2012_val_00006427.JPEG 131,138,326,297,75
train/n02408429/n02408429_16214.JPEG 1,2,499,332,75
train/n01797886/n01797886_2694.JPEG 66,116,380,373,26
train/n01797886/n01797886_6696.JPEG 137,118,207,270,26
train/n01797886/n01797886_2363.JPEG 150,96,299,266,26
train/n01797886/n01797886_893.JPEG 26,217,246,381,26
train/n01797886/n01797886_9670.JPEG 34,103,317,282,26
train/n01440764/n01440764_4988.JPEG 1,93,378,357,0
train/n01440764/n01440764_2708.JPEG 15,209,1050,578,0
train/n01440764/n01440764_2162.JPEG 185,112,386,248,0
train/n01440764/n01440764_8623.JPEG 158,211,407,331,0
train/n01440764/n01440764_5636.JPEG 73,50,363,338,0
train/n01440764/n01440764_7302.JPEG 93,157,343,276,0
val_original/ILSVRC2012_val_00022470.JPEG 83,82,499,374,17
train/n01695060/n01695060_11610.JPEG 1,1,505,384,17
val_original/ILSVRC2012_val_00034346.JPEG 109,37,499,352,17
train/n01695060/n01695060_4507.JPEG 3,50,499,295,17
train/n01695060/n01695060_22508.JPEG 1,1,331,471,17
train/n02488291/n02488291_3004.JPEG 169,114,279,307,88 370,221,428,313,88
train/n02488291/n02488291_3189.JPEG 30,20,312,327,88
train/n02488291/n02488291_383.JPEG 337,31,431,301,88
train/n02488291/n02488291_125.JPEG 11,37,487,374,88
train/n01440764/n01440764_3713.JPEG 38,145,569,421,0
train/n01440764/n01440764_12239.JPEG 94,101,489,303,0
val_original/ILSVRC2012_val_00037383.JPEG 83,118,302,230,0
train/n01440764/n01440764_5781.JPEG 111,182,450,356,0
train/n01440764/n01440764_26698.JPEG 1,280,321,411,0
train/n01440764/n01440764_8112.JPEG 63,64,413,248,0
train/n02488291/n02488291_2006.JPEG 210,41,393,388,88
train/n01644373/n01644373_7864.JPEG 141,100,353,327,11
train/n01644373/n01644373_1553.JPEG 142,118,445,289,11
train/n01644373/n01644373_11488.JPEG 79,21,328,302,11
train/n01644373/n01644373_5549.JPEG 46,29,144,132,11
val_original/ILSVRC2012_val_00043303.JPEG 215,165,323,259,11
train/n02006656/n02006656_8365.JPEG 26,70,315,402,39
val_original/ILSVRC2012_val_00044522.JPEG 128,72,331,301,39
train/n02006656/n02006656_5787.JPEG 139,68,302,316,39
train/n02006656/n02006656_8666.JPEG 1,1,463,498,39
train/n02006656/n02006656_8692.JPEG 40,8,496,374,39
train/n02006656/n02006656_8736.JPEG 86,69,449,374,39
train/n02480855/n02480855_12198.JPEG 48,30,342,214,86 1,50,459,374,86
train/n02480855/n02480855_1453.JPEG 103,18,379,354,86
train/n02480855/n02480855_13253.JPEG 39,16,314,336,86
train/n02480855/n02480855_12300.JPEG 66,38,287,476,86
train/n01797886/n01797886_7206.JPEG 84,73,399,333,26
train/n01797886/n01797886_11733.JPEG 199,102,371,260,26
train/n01797886/n01797886_1263.JPEG 36,31,283,220,26
val_original/ILSVRC2012_val_00037408.JPEG 110,127,431,294,26
train/n01797886/n01797886_27061.JPEG 219,72,633,932,26
train/n02408429/n02408429_14982.JPEG 72,137,138,193,75 158,158,256,219,75 334,161,381,261,75 425,184,477,237,75 332,132,388,168,75 152,116,203,152,75 208,141,283,171,75
train/n02408429/n02408429_10018.JPEG 191,163,461,349,75 26,133,148,298,75
train/n02408429/n02408429_1917.JPEG 66,112,388,317,75
train/n02408429/n02408429_4734.JPEG 102,78,423,346,75
train/n02408429/n02408429_11604.JPEG 3,40,347,498,75
train/n02488291/n02488291_3635.JPEG 309,47,569,587,88
train/n02488291/n02488291_6612.JPEG 1,18,316,498,88
train/n02488291/n02488291_2579.JPEG 210,141,493,438,88 345,129,519,337,88
train/n02488291/n02488291_6963.JPEG 175,107,481,430,88
val_original/ILSVRC2012_val_00041180.JPEG 0,32,85,126,88
train/n02123159/n02123159_4515.JPEG 10,130,485,326,58
train/n02123159/n02123159_7415.JPEG 31,7,499,332,58
train/n02123159/n02123159_3353.JPEG 1,1,494,498,58
val_original/ILSVRC2012_val_00040611.JPEG 2,29,574,585,58
train/n02514041/n02514041_1098.JPEG 1,169,438,308,96
val_original/ILSVRC2012_val_00039978.JPEG 183,178,634,477,96
train/n02514041/n02514041_5136.JPEG 48,258,571,419,96
train/n02514041/n02514041_1990.JPEG 157,104,499,313,96
train/n02514041/n02514041_3634.JPEG 139,10,358,830,96
train/n02514041/n02514041_7690.JPEG 8,14,258,103,96
train/n01592084/n01592084_3648.JPEG 248,189,443,362,7
train/n01592084/n01592084_1564.JPEG 10,83,425,300,7
train/n01592084/n01592084_9969.JPEG 131,108,443,275,7
train/n01592084/n01592084_522.JPEG 95,21,482,306,7
val_original/ILSVRC2012_val_00002681.JPEG 3,31,441,452,7
train/n01592084/n01592084_2594.JPEG 128,67,476,338,7
train/n01592084/n01592084_5179.JPEG 140,72,401,319,7
train/n02514041/n02514041_13882.JPEG 41,93,497,371,96
train/n02514041/n02514041_1421.JPEG 242,103,282,324,96 306,79,346,264,96
val_original/ILSVRC2012_val_00045871.JPEG 125,151,341,795,96
train/n02514041/n02514041_5969.JPEG 1,79,170,137,96
train/n02514041/n02514041_6221.JPEG 23,250,426,363,96
train/n02514041/n02514041_2643.JPEG 38,205,421,318,96
train/n02514041/n02514041_13508.JPEG 84,174,395,248,96
train/n01695060/n01695060_888.JPEG 4,85,383,230,17
train/n01695060/n01695060_26433.JPEG 1,164,475,270,17
train/n01695060/n01695060_16184.JPEG 7,65,487,325,17
train/n01695060/n01695060_7793.JPEG 87,47,499,212,17
train/n02488291/n02488291_2920.JPEG 68,30,376,438,88
train/n02488291/n02488291_6269.JPEG 24,1,170,89,88
train/n02488291/n02488291_5711.JPEG 1,30,317,490,88
train/n02488291/n02488291_2313.JPEG 63,61,316,498,88
train/n02488291/n02488291_6755.JPEG 97,8,406,469,88
train/n02488291/n02488291_873.JPEG 1,11,317,374,88
train/n02514041/n02514041_5915.JPEG 122,36,419,262,96
train/n02514041/n02514041_7119.JPEG 1,221,461,397,96
train/n02514041/n02514041_6472.JPEG 88,424,540,560,96
train/n02514041/n02514041_7562.JPEG 1,38,449,383,96
train/n02514041/n02514041_7374.JPEG 29,81,370,277,96
train/n02129165/n02129165_3098.JPEG 10,5,499,362,63
train/n02129165/n02129165_60.JPEG 81,79,362,303,63
train/n02129165/n02129165_16319.JPEG 50,110,349,282,63
train/n02129165/n02129165_22388.JPEG 1,1,499,365,63
train/n02129165/n02129165_4534.JPEG 1,61,298,498,63
train/n01440764/n01440764_5549.JPEG 73,165,357,318,0
train/n01440764/n01440764_5623.JPEG 72,117,473,308,0
train/n01440764/n01440764_769.JPEG 170,171,320,237,0
train/n01440764/n01440764_12708.JPEG 90,206,317,312,0
train/n01440764/n01440764_4167.JPEG 49,174,411,374,0
train/n01440764/n01440764_8367.JPEG 10,152,287,267,0
train/n01440764/n01440764_5579.JPEG 74,83,465,254,0
train/n01695060/n01695060_19788.JPEG 47,173,317,298,17
train/n01695060/n01695060_8424.JPEG 2,11,357,330,17
train/n01695060/n01695060_5428.JPEG 3,50,406,272,17
train/n01695060/n01695060_6666.JPEG 36,1,498,329,17
train/n01695060/n01695060_14186.JPEG 30,87,497,259,17
train/n02480855/n02480855_17876.JPEG 16,17,355,482,86
train/n02480855/n02480855_5114.JPEG 29,8,473,333,86
train/n02480855/n02480855_5186.JPEG 90,128,391,316,86
train/n02480855/n02480855_19533.JPEG 9,46,191,276,86
train/n02480855/n02480855_18353.JPEG 101,141,236,338,86
train/n02488291/n02488291_4045.JPEG 90,25,272,498,88
train/n02488291/n02488291_2405.JPEG 378,255,453,328,88
train/n02488291/n02488291_5688.JPEG 262,72,375,280,88 139,156,260,268,88
train/n02488291/n02488291_5971.JPEG 48,21,373,433,88
val_original/ILSVRC2012_val_00005224.JPEG 94,0,360,113,7
train/n01592084/n01592084_10940.JPEG 49,48,491,225,7
train/n01592084/n01592084_2165.JPEG 1,132,266,328,7
train/n01592084/n01592084_5125.JPEG 90,198,399,351,7
train/n01592084/n01592084_5364.JPEG 212,186,253,213,7
train/n02488291/n02488291_2253.JPEG 38,57,292,343,88
train/n02488291/n02488291_1348.JPEG 77,101,372,440,88
train/n02488291/n02488291_3665.JPEG 178,67,350,383,88 77,153,250,498,88
train/n02488291/n02488291_1179.JPEG 171,38,376,374,88
train/n02488291/n02488291_5546.JPEG 127,176,271,306,88
train/n02488291/n02488291_1424.JPEG 133,225,281,396,88 79,6,420,404,88
val_original/ILSVRC2012_val_00004617.JPEG 71,85,356,446,88
val_original/ILSVRC2012_val_00019262.JPEG 0,0,499,396,58
train/n02123159/n02123159_2894.JPEG 31,36,499,344,58
train/n02123159/n02123159_5904.JPEG 2,1,499,374,58
train/n02123159/n02123159_5749.JPEG 60,71,293,471,58
train/n01440764/n01440764_18592.JPEG 202,232,360,353,0
train/n01440764/n01440764_7877.JPEG 1,99,595,441,0
train/n01440764/n01440764_8479.JPEG 198,269,579,478,0
train/n01797886/n01797886_10196.JPEG 137,25,395,317,26
train/n01797886/n01797886_3832.JPEG 88,142,281,255,26
train/n01797886/n01797886_21511.JPEG 28,83,292,298,26
train/n01797886/n01797886_1273.JPEG 30,93,499,389,26
train/n01797886/n01797886_4731.JPEG 199,267,329,360,26
train/n01440764/n01440764_12534.JPEG 20,113,195,212,0
train/n01440764/n01440764_6375.JPEG 145,224,281,282,0
train/n01440764/n01440764_10293.JPEG 57,127,465,281,0
train/n01440764/n01440764_1827.JPEG 89,147,476,348,0
train/n01440764/n01440764_14232.JPEG 27,45,254,154,0
train/n01440764/n01440764_10342.JPEG 61,85,403,196,0
train/n02123159/n02123159_8081.JPEG 149,61,499,334,58
train/n02123159/n02123159_5170.JPEG 41,16,473,443,58
train/n02123159/n02123159_2233.JPEG 175,0,1152,863,58
train/n02123159/n02123159_6609.JPEG 1,50,281,446,58
train/n02123159/n02123159_3980.JPEG 193,75,447,232,58
train/n02123159/n02123159_7785.JPEG 20,3,308,498,58
train/n02129165/n02129165_13703.JPEG 64,16,572,782,63
train/n02129165/n02129165_4783.JPEG 54,60,499,283,63
val_original/ILSVRC2012_val_00029184.JPEG 3,0,671,448,81
train/n02443114/n02443114_6703.JPEG 131,26,322,309,81
train/n02443114/n02443114_7032.JPEG 232,131,469,312,81
train/n02443114/n02443114_35133.JPEG 70,28,499,316,81
train/n02443114/n02443114_42210.JPEG 45,1,498,497,81
train/n02443114/n02443114_23735.JPEG 1,1,384,332,81
train/n01797886/n01797886_15523.JPEG 75,58,303,234,26
val_original/ILSVRC2012_val_00043241.JPEG 67,34,403,381,26
train/n01797886/n01797886_17531.JPEG 76,108,207,418,26
train/n01797886/n01797886_22437.JPEG 113,212,1022,589,26
train/n01797886/n01797886_13701.JPEG 60,152,347,396,26
train/n01797886/n01797886_10784.JPEG 1,30,312,369,26
train/n02119022/n02119022_3381.JPEG 1,35,305,488,55
train/n02119022/n02119022_12833.JPEG 1,1,498,211,55
val_original/ILSVRC2012_val_00000157.JPEG 0,36,182,277,55
train/n02119022/n02119022_7795.JPEG 33,6,581,402,55
train/n02119022/n02119022_4659.JPEG 107,25,499,367,55
train/n02129165/n02129165_24597.JPEG 22,123,351,428,63
train/n02129165/n02129165_5769.JPEG 1,16,338,498,63
train/n02129165/n02129165_10291.JPEG 56,89,499,276,63
train/n02129165/n02129165_17964.JPEG 263,166,355,285,63
train/n02129165/n02129165_16401.JPEG 180,156,347,228,63
train/n02488291/n02488291_1638.JPEG 1,33,331,498,88
train/n02488291/n02488291_4365.JPEG 318,179,410,309,88
train/n02488291/n02488291_6863.JPEG 75,80,359,498,88
train/n01843065/n01843065_2037.JPEG 81,97,291,441,31
train/n01843065/n01843065_5337.JPEG 178,96,313,310,31
train/n01843065/n01843065_4676.JPEG 255,33,372,223,31
train/n01843065/n01843065_1695.JPEG 47,27,216,435,31
train/n01843065/n01843065_4839.JPEG 33,30,212,440,31
train/n01843065/n01843065_3.JPEG 1,2,499,279,31
train/n02123159/n02123159_2794.JPEG 18,185,222,413,58
train/n02123159/n02123159_7444.JPEG 2,125,430,345,58
train/n02123159/n02123159_3952.JPEG 7,6,90,78,58
val_original/ILSVRC2012_val_00009125.JPEG 4,123,1151,861,58
train/n02123159/n02123159_7417.JPEG 96,150,438,236,58
train/n02123159/n02123159_5590.JPEG 1,25,331,471,58
train/n02123159/n02123159_667.JPEG 20,11,443,301,58
train/n02408429/n02408429_973.JPEG 297,143,460,285,75
val_original/ILSVRC2012_val_00020008.JPEG 229,60,371,289,75
train/n02408429/n02408429_1982.JPEG 1,1,499,332,75
train/n02408429/n02408429_7248.JPEG 18,32,481,332,75
train/n02514041/n02514041_2748.JPEG 1,114,603,399,96
train/n02514041/n02514041_6366.JPEG 11,519,471,668,96
train/n02514041/n02514041_76.JPEG 1,93,380,264,96
train/n02514041/n02514041_1305.JPEG 87,72,499,256,96
train/n02514041/n02514041_6745.JPEG 18,67,486,266,96
train/n01644373/n01644373_9974.JPEG 240,87,386,351,11
train/n01644373/n01644373_16073.JPEG 180,57,367,347,11
train/n01644373/n01644373_9504.JPEG 36,62,445,306,11
train/n01644373/n01644373_3946.JPEG 136,105,367,300,11
train/n01644373/n01644373_9203.JPEG 103,173,298,341,11
train/n01644373/n01644373_5250.JPEG 136,76,424,351,11
train/n02443114/n02443114_6849.JPEG 213,152,262,234,81
train/n02443114/n02443114_2122.JPEG 48,17,185,352,81
train/n02443114/n02443114_43158.JPEG 25,12,404,365,81
train/n02443114/n02443114_41904.JPEG 128,43,471,424,81
train/n02443114/n02443114_28551.JPEG 42,63,457,496,81
train/n02443114/n02443114_11233.JPEG 1,11,332,366,81
val_original/ILSVRC2012_val_00011605.JPEG 35,71,371,480,31
train/n01843065/n01843065_1699.JPEG 115,72,315,453,31
train/n01843065/n01843065_5341.JPEG 33,82,262,480,31
val_original/ILSVRC2012_val_00019251.JPEG 96,81,332,498,31
train/n02408429/n02408429_5700.JPEG 207,114,363,282,75
train/n02408429/n02408429_7934.JPEG 78,92,332,332,75
